record_id,vendor_name,is_anomaly,anomaly_type,severity,explanation,expired_certifications
VND00000,Enterprise Group,True,EXPIRED_CERTIFICATION,MEDIUM,"Certification(s) expired: GDPR, SOC2","GDPR, SOC2"
VND00001,CloudSync Innovations,True,VENDOR_UNDER_INVESTIGATION,CRITICAL,Vendor is currently under security investigation,HIPAA
VND00002,Global Ltd,True,EXPIRED_CERTIFICATION,MEDIUM,Certification(s) expired: FedRAMP,FedRAMP
VND00003,SecureNet Innovations,True,HIGH_RISK_SCORE,HIGH,Vendor risk score 92/100 exceeds acceptable threshold (80),GDPR
VND00004,SecureNet Corp,False,LOW_RISK_VENDOR,NONE,Vendor meets compliance and risk thresholds,None
VND00005,Analytics Pro Systems,False,LOW_RISK_VENDOR,NONE,Vendor meets compliance and risk thresholds,None
VND00006,Global Systems,True,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,Vendor had breach in last 12 months and has Customer_PII access,GDPR
VND00007,Digital Partners,True,HIGH_RISK_SCORE,HIGH,Vendor risk score 88/100 exceeds acceptable threshold (80),None
VND00008,Smart Corp,False,LOW_RISK_VENDOR,NONE,Vendor meets compliance and risk thresholds,None
VND00009,Digital Partners,True,EXPIRED_CERTIFICATION,MEDIUM,"Certification(s) expired: FedRAMP, PCI-DSS","FedRAMP, PCI-DSS"
VND00010,DataVault Group,True,VENDOR_UNDER_INVESTIGATION,CRITICAL,Vendor is currently under security investigation,None
VND00011,Analytics Pro Ltd,True,ELEVATED_RISK_VENDOR,LOW,Vendor risk score 78/100 elevated - increased monitoring recommended,None
VND00012,DataVault Solutions,False,LOW_RISK_VENDOR,NONE,Vendor meets compliance and risk thresholds,None
VND00013,Analytics Pro Corp,True,RECENTLY_BREACHED_VENDOR,MEDIUM,Vendor had a breach in the last 12 months - requires enhanced monitoring,ISO27001
VND00014,Future Systems,True,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,Vendor had breach in last 12 months and has All_Systems access,"PCI-DSS, SOC2"
VND00015,DataVault Solutions,True,EXPIRED_CERTIFICATION,HIGH,"Certifications expired (SOC2, ISO27001) for vendor with sensitive data access","SOC2, ISO27001"
VND00016,TechFlow Group,False,LOW_RISK_VENDOR,NONE,Vendor meets compliance and risk thresholds,None
VND00017,Global Ltd,True,EXPIRED_CERTIFICATION,MEDIUM,"Certification(s) expired: SOC2, HIPAA","SOC2, HIPAA"
VND00018,TechFlow Inc,True,HIGH_RISK_SCORE,HIGH,Vendor risk score 81/100 exceeds acceptable threshold (80),None
VND00019,CloudSync Technologies,True,HIGH_RISK_SCORE,HIGH,Vendor risk score 99/100 exceeds acceptable threshold (80),ISO27001
VND00020,Analytics Pro Systems,True,HIGH_RISK_SCORE,HIGH,Vendor risk score 90/100 exceeds acceptable threshold (80),None
VND00021,CloudSync Systems,True,HIGH_RISK_SCORE,HIGH,Vendor risk score 81/100 exceeds acceptable threshold (80),GDPR
VND00022,Analytics Pro Services,False,LOW_RISK_VENDOR,NONE,Vendor meets compliance and risk thresholds,None
VND00023,Enterprise Corp,False,LOW_RISK_VENDOR,NONE,Vendor meets compliance and risk thresholds,None
VND00024,Analytics Pro Technologies,True,RECENTLY_BREACHED_VENDOR,MEDIUM,Vendor had a breach in the last 12 months - requires enhanced monitoring,"HIPAA, ISO27001"
VND00025,Smart Services,True,ELEVATED_RISK_VENDOR,LOW,Vendor risk score 75/100 elevated - increased monitoring recommended,None
VND00026,CloudSync Corp,True,EXPIRED_CERTIFICATION,MEDIUM,Certification(s) expired: SOC2,SOC2
VND00027,Analytics Pro Group,True,HIGH_RISK_SCORE,HIGH,Vendor risk score 99/100 exceeds acceptable threshold (80),ISO27001
VND00028,Digital Inc,True,EXPIRED_CERTIFICATION,MEDIUM,"Certification(s) expired: SOC2, GDPR","SOC2, GDPR"
VND00029,TechFlow Innovations,True,EXPIRED_CERTIFICATION,MEDIUM,"Certification(s) expired: PCI-DSS, SOC2","PCI-DSS, SOC2"
VND00030,Analytics Pro Partners,True,EXPIRED_CERTIFICATION,HIGH,Certifications expired (GDPR) for vendor with sensitive data access,GDPR
VND00031,Analytics Pro Innovations,False,LOW_RISK_VENDOR,NONE,Vendor meets compliance and risk thresholds,None
VND00032,Future Group,True,ELEVATED_RISK_VENDOR,LOW,Vendor risk score 69/100 elevated - increased monitoring recommended,None
VND00033,TechFlow Partners,True,EXPIRED_CERTIFICATION,MEDIUM,Certification(s) expired: ISO27001,ISO27001
